"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"EVC","NYSE","Entravision Communications Corp","Communication Services","Advertising Agencies",967.33,10.51,-5.06%,1572821,2908.21,0.54,-13.00%,13.99%,204.64%,234.71%,258.70%,325.51%,5.71%,,124.41%,114.45%,,-0.79%,51.46%,10.57%
"MGNI","NASD","Magnite Inc","Communication Services","Advertising Agencies",2851.42,19.91,-2.83%,1680170,2905.87,0.58,-6.17%,18.87%,50.26%,23.74%,22.67%,-17.21%,4.13%,22.17%,143.89%,5.52%,13.14%,-4.33%,92.63%,10.54%
"HPE","NYSE","Hewlett Packard Enterprise Co","Technology","Communication Equipment",59761.30,45.13,-4.77%,27130622,25940.88,1.05,-8.10%,-7.94%,83.31%,102.47%,87.89%,121.77%,6.33%,75.95%,153.39%,40.64%,31.22%,-0.90%,93.77%,5.14%
"DELL","NYSE","Dell Technologies Inc","Technology","Computer Hardware",253724.24,391.38,-5.16%,6254350,8837.74,0.71,-13.07%,-4.32%,120.77%,227.08%,210.92%,216.73%,7.56%,79.10%,281.26%,87.49%,35.85%,-1.95%,40.22%,4.31%
"SNDK","NASD","Sandisk Corp","Technology","Computer Hardware",208966.50,1411.08,-12.63%,16995658,13192.13,1.29,-24.06%,-33.06%,58.24%,261.99%,494.44%,3311.70%,10.09%,2129.34%,272.72%,251.03%,,-4.46%,79.66%,4.93%
"ADPT","NASD","Adaptive Biotechnologies Corp","Healthcare","Diagnostics & Research",3536.98,22.10,-3.49%,2447001,2561.75,0.96,1.38%,26.58%,52.10%,22.30%,36.08%,104.06%,5.96%,-16.83%,35.63%,35.14%,41.57%,-0.87%,95.56%,7.32%
"CDNA","NASD","Caredx Inc","Healthcare","Diagnostics & Research",2083.94,40.34,35.60%,4475494,847.47,5.28,38.58%,67.52%,129.60%,99.80%,114.12%,110.10%,3.93%,61.04%,128.24%,38.99%,38.15%,-0.49%,95.72%,17.85%
"GH","NASD","Guardant Health Inc","Healthcare","Diagnostics & Research",20552.98,155.00,-4.88%,2819021,2661.40,1.06,-5.53%,19.40%,82.65%,45.01%,51.75%,224.20%,5.17%,13.31%,-11.14%,48.26%,,3.66%,104.26%,9.54%
"NEO","NASD","Neogenomics Inc","Healthcare","Diagnostics & Research",1932.34,14.84,2.34%,4270008,2650.29,1.61,0.75%,33.81%,70.97%,14.77%,26.19%,114.76%,4.38%,50.00%,34.94%,11.09%,61.23%,5.55%,106.77%,9.09%
"PSNL","NASD","Personalis Inc","Healthcare","Diagnostics & Research",1631.56,15.58,-1.33%,12681823,3299.96,3.84,6.35%,59.14%,134.99%,77.45%,95.73%,143.06%,9.29%,-12.72%,-60.02%,-24.91%,6.03%,0.35%,62.33%,16.02%
"TWST","NASD","Twist Bioscience Corp","Healthcare","Diagnostics & Research",5681.02,91.23,-1.49%,1723379,1754.63,0.98,-2.60%,12.92%,58.33%,126.83%,187.61%,148.65%,5.15%,-61.35%,-8.21%,19.31%,12.75%,3.60%,121.13%,23.37%
"LQDA","NASD","Liquidia Corp","Healthcare","Drug Manufacturers - Specialty & Generic",6693.62,75.27,-3.19%,1262935,1902.36,0.66,-7.59%,4.83%,87.61%,97.61%,118.24%,430.44%,6.50%,514.50%,216.05%,4158.49%,,4.02%,67.34%,17.76%
"FCEL","NASD","Fuelcell Energy Inc","Industrials","Electrical Equipment & Parts",1379.58,17.26,-14.77%,10727640,12392.57,0.87,-24.96%,-1.37%,129.22%,129.52%,136.11%,245.89%,12.44%,64.14%,18.77%,-4.86%,57.30%,3.93%,31.77%,12.89%
"FLEX","NASD","Flex Ltd","Technology","Electronic Components",44377.10,121.12,-5.90%,4320157,6986.55,0.62,-13.45%,-18.83%,54.43%,88.45%,100.46%,133.60%,5.76%,34.41%,17.12%,16.86%,42.19%,-3.05%,98.79%,2.04%
"MEI","NYSE","Methode Electronics Inc","Technology","Electronic Components",544.14,15.34,-2.66%,629625,972.26,0.65,-1.98%,27.30%,116.06%,116.36%,131.02%,131.37%,8.97%,53.47%,101.43%,15.95%,,0.25%,89.64%,5.63%
"TXG","NASD","10x Genomics Inc","Healthcare","Health Information Services",5647.02,44.48,-2.78%,4713552,3143.88,1.50,3.20%,38.05%,75.46%,116.76%,172.72%,259.58%,6.95%,-130.22%,62.53%,-2.61%,-8.96%,1.34%,98.63%,14.45%
"OSCR","NYSE","Oscar Health Inc","Healthcare","Healthcare Plans",8701.09,28.86,-5.72%,6307729,7203.66,0.88,-7.50%,-0.96%,85.12%,66.05%,100.84%,88.01%,5.81%,164.58%,124.38%,52.55%,,1.10%,55.50%,7.68%
"XMTR","NASD","Xometry Inc","Industrials","Industrial Distribution",5326.80,96.42,-2.29%,500672,884.64,0.57,2.96%,10.79%,109.61%,47.45%,62.13%,177.55%,4.18%,86.60%,66.12%,35.88%,73.78%,0.59%,92.08%,7.10%
"PENG","NASD","Penguin Solutions Inc","Technology","Information Technology Services",3380.48,65.97,-9.44%,3730364,3713.30,1.00,-18.95%,3.29%,148.94%,227.39%,237.27%,167.84%,13.44%,37.59%,,47.64%,27.28%,2.94%,113.48%,17.86%
"SHAZ","NASD","SharonAI Holdings Inc","Technology","Information Technology Services",2308.06,65.60,-7.12%,2639987,1045.27,2.53,-18.00%,-6.57%,79.28%,3352.63%,3352.63%,774.67%,9.57%,33.35%,49.08%,,13.49%,18.61%,26.99%,5.65%
"WYFI","NASD","Whitefiber Inc","Technology","Information Technology Services",996.24,25.80,-11.58%,2861402,2215.49,1.29,-33.57%,-13.94%,61.35%,39.99%,63.29%,,16.34%,-4.08%,-933.33%,46.00%,,-2.31%,21.29%,42.45%
"PRCH","NASD","Porch Group Inc","Financial","Insurance - Property & Casualty",1509.77,13.80,0.40%,1376135,2096.12,0.66,-8.91%,31.43%,85.48%,50.16%,51.15%,7.98%,5.19%,-42.86%,-159.92%,15.64%,,10.78%,78.30%,19.11%
"EVER","NASD","EverQuote Inc","Communication Services","Internet Content & Information",933.50,26.39,4.06%,871050,893.18,0.98,6.58%,30.39%,70.59%,0.19%,-2.26%,7.67%,5.02%,-20.10%,138.33%,14.54%,0.32%,7.93%,86.17%,18.65%
"GRPN","NASD","Groupon Inc","Communication Services","Internet Content & Information",1085.58,28.58,10.01%,2655031,2075.83,1.28,7.40%,63.78%,121.21%,77.08%,62.29%,-12.89%,8.76%,93.59%,-284.42%,0.01%,,-3.36%,69.19%,59.61%
"AMN","NYSE","AMN Healthcare Services Inc","Healthcare","Medical Care Facilities",1327.26,34.22,5.78%,924617,1085.34,0.85,8.50%,10.82%,76.66%,123.37%,117.13%,73.79%,4.95%,95.68%,5676.14%,99.90%,-1.99%,13.65%,112.16%,8.47%
