"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"KRMN","NYSE","Karman Holdings Inc","Industrials","Aerospace & Defense",6589.21,49.72,4.48%,2537624,3439.06,0.74,4.78%,7.20%,-39.45%,-52.55%,-32.05%,1.26%,6.18%,55.98%,261.98%,51.02%,50.90%,18.18%,78.29%,13.31%
"LUNR","NASD","Intuitive Machines Inc","Industrials","Aerospace & Defense",2975.36,13.71,-2.70%,5587687,13533.57,0.41,2.01%,-34.56%,-54.21%,-30.05%,-15.53%,2.54%,7.76%,56.85%,-135.53%,198.65%,,24.86%,77.82%,26.54%
"ASST","NASD","Strive Inc","Financial","Asset Management",1007.08,12.09,-4.58%,2297737,4221.14,0.54,3.78%,-13.33%,-27.43%,-32.26%,-18.09%,-87.89%,6.41%,59.66%,-79.68%,1516.41%,,64.40%,43.78%,27.09%
"IREN","NASD","IREN Ltd","Financial","Capital Markets",14481.28,40.58,-1.70%,41665855,47964.60,0.87,16.51%,-25.84%,-16.14%,-24.12%,7.44%,113.69%,8.93%,-277.30%,-802.55%,2.30%,71.80%,4.69%,46.64%,24.68%
"AAOI","NASD","Applied Optoelectronics Inc","Technology","Communication Equipment",8988.79,112.02,1.36%,6249495,11876.41,0.53,11.75%,-24.02%,-25.03%,191.87%,221.34%,325.85%,9.87%,497.41%,-2.56%,51.36%,,12.45%,72.68%,14.18%
"ADTN","NASD","ADTRAN Holdings Inc","Technology","Communication Equipment",822.13,10.15,-2.87%,1967631,2477.56,0.79,-13.32%,-29.85%,-40.12%,9.26%,16.80%,7.41%,6.11%,116.91%,91.04%,15.48%,63.76%,11.70%,108.64%,16.92%
"UMAC","AMEX","Unusual Machines Inc","Technology","Computer Hardware",1028.53,21.52,9.41%,4927186,5807.56,0.85,29.33%,0.05%,30.82%,26.96%,68.92%,101.31%,9.84%,60.14%,203.99%,296.41%,34.81%,39.34%,57.46%,17.47%
"VELO","NASD","Velo3D Inc","Technology","Computer Hardware",301.29,10.11,-3.81%,1170424,3652.03,0.32,-2.27%,-51.06%,-32.42%,-41.29%,-26.42%,42.19%,11.45%,78.68%,85.25%,48.24%,58.48%,6.69%,25.26%,36.15%
"CDE","NYSE","Coeur Mining Inc","Basic Materials","Gold",15705.14,15.24,-3.79%,44669010,30308.85,1.47,3.04%,-6.62%,-21.16%,-33.48%,-14.53%,60.25%,5.36%,91.77%,451.88%,137.76%,33.11%,30.59%,77.32%,5.04%
"TEM","NASD","Tempus AI Inc","Healthcare","Health Information Services",8261.77,46.01,-2.02%,4454560,6336.62,0.70,-14.14%,-5.35%,-17.11%,-29.56%,-22.08%,-29.06%,5.79%,44.55%,-77.97%,36.12%,,3.25%,50.85%,31.67%
"ALHC","NASD","Alignment Healthcare Inc","Healthcare","Healthcare Plans",4134.67,20.00,-3.71%,3262598,6002.34,0.54,-0.15%,-7.66%,-4.81%,-14.16%,1.27%,61.29%,5.67%,,213.80%,33.26%,,6.70%,104.04%,12.44%
"APLD","NASD","Applied Digital Corp","Technology","Information Technology Services",8541.65,29.89,-0.63%,13724320,21815.51,0.63,13.05%,-33.97%,-7.83%,-14.75%,21.90%,173.47%,7.48%,-1077.78%,-120.39%,139.29%,,5.02%,73.41%,27.38%
"PENG","NASD","Penguin Solutions Inc","Technology","Information Technology Services",2993.09,58.41,-1.33%,3067813,3895.91,0.79,-11.46%,-12.77%,111.78%,188.59%,198.62%,134.58%,9.84%,37.62%,,47.64%,28.14%,12.37%,121.99%,17.87%
"WRBY","NYSE","Warby Parker Inc","Healthcare","Medical Instruments & Supplies",2983.21,24.31,-0.98%,2500724,3269.84,0.76,-11.89%,-5.19%,-1.10%,-8.02%,11.56%,-0.61%,7.26%,30.44%,-9.32%,8.34%,40.43%,10.68%,89.22%,17.57%
"MP","NYSE","MP Materials Corp","Basic Materials","Other Industrial Metals & Mining",7948.69,44.65,-2.25%,4520026,5909.47,0.76,-1.78%,-24.19%,-35.47%,-30.94%,-11.62%,-26.97%,6.03%,148.92%,67.61%,118.59%,,4.20%,71.99%,18.51%
"AMKR","NASD","AMKOR Technology Inc","Technology","Semiconductor Equipment & Materials",16193.51,65.33,-2.45%,2670911,5492.53,0.49,3.67%,-24.67%,-9.58%,22.20%,65.48%,203.58%,6.49%,40.96%,291.56%,27.48%,28.16%,5.61%,50.06%,14.61%
"ALAB","NASD","Astera Labs Inc","Technology","Semiconductors",56045.26,326.97,-1.19%,2799452,5893.68,0.47,2.26%,-17.64%,68.49%,85.77%,96.54%,173.66%,7.53%,64.19%,148.21%,93.40%,48.52%,3.01%,71.44%,9.04%
"CBRS","NASD","Cerebras Systems Inc","Technology","Semiconductors",60992.91,220.00,4.86%,8191424,7801.56,1.05,21.91%,-2.96%,,,-37.14%,,12.64%,,44.27%,94.35%,,46.18%,4.73%,16.90%
"FSLY","NASD","Fastly Inc","Technology","Software - Application",3040.80,19.43,-5.03%,3286488,7667.37,0.43,-4.38%,16.63%,-22.87%,117.83%,90.86%,166.16%,7.12%,151.08%,51.10%,19.76%,55.47%,18.63%,89.19%,17.45%
