"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"BMNR","NYSE","BitMine Immersion Technologies Inc","Financial","Capital Markets",10906.34,18.08,8.98%,35555744,37532.72,0.95,8.98%,35.84%,-12.49%,-38.98%,-33.41%,-47.44%,8.69%,-218.15%,51.19%,2167.95%,,8.63%,32.51%,8.33%,12.58%,10.06%,-29.18%
"EFOR","NYSE","Everforth Inc","Technology","Information Technology Services",1130.37,27.57,17.77%,1852804,1154.88,1.60,40.38%,54.28%,20.29%,-44.09%,-42.77%,-46.81%,6.62%,-20.06%,-48.00%,-1.33%,6.30%,-2.95%,105.02%,10.56%,41.25%,40.14%,-23.51%
"DJT","NASD","Trump Media & Technology Group Corp","Communication Services","Internet Content & Information",2874.79,10.38,5.38%,6665319,4657.45,1.43,16.76%,34.11%,13.20%,-23.73%,-21.60%,-41.59%,7.02%,,-919.75%,6.09%,,-1.15%,20.70%,10.45%,13.30%,20.96%,-4.52%
"ENOV","NYSE","Enovis Corp","Healthcare","Medical Devices",1686.58,29.30,-3.17%,869464,1171.38,0.74,12.43%,41.55%,30.28%,36.53%,9.98%,8.40%,3.97%,10.40%,84.49%,5.43%,10.68%,3.35%,118.69%,14.85%,10.35%,21.45%,14.94%
"PBF","NYSE","PBF Energy Inc","Energy","Oil & Gas Refining & Marketing",8648.35,73.10,15.39%,6590607,2929.91,2.25,18.00%,60.59%,69.49%,122.19%,169.54%,196.79%,6.59%,392.84%,146.86%,11.86%,,2.44%,85.12%,12.57%,23.51%,50.67%,84.86%
"ALIT","NYSE","Alight Inc","Technology","Software - Application",490.77,18.27,-9.96%,527759,1268.71,0.42,-0.05%,63.13%,21.78%,-40.68%,-53.15%,-83.05%,7.74%,-43.79%,-13.37%,-2.55%,-21.83%,,86.57%,4.87%,-6.26%,11.58%,-32.52%
"BLKB","NASD","Blackbaud Inc","Technology","Software - Application",1840.96,40.08,-4.98%,1113549,822.98,1.35,28.26%,35.31%,2.66%,-26.95%,-36.70%,-44.03%,8.83%,17.87%,46.30%,3.30%,,0.83%,80.77%,13.73%,23.95%,32.56%,-13.01%
"FIG","NYSE","Figma Inc","Technology","Software - Application",12554.22,23.76,-4.04%,16146680,21326.22,0.76,18.80%,31.34%,40.93%,-20.96%,-36.42%,,6.86%,-39.30%,-1719.05%,46.12%,0.78%,18.99%,29.25%,33.16%,5.04%,10.47%,-18.24%
"RNG","NYSE","RingCentral Inc","Technology","Software - Application",4465.91,53.48,-7.12%,2349903,2009.58,1.17,38.48%,37.20%,33.07%,98.15%,85.18%,102.35%,10.70%,15.30%,215.14%,5.90%,12.25%,9.92%,102.78%,12.17%,22.13%,28.45%,53.07%
"PN","NASD","PN Smart Energy Ltd","Technology","Solar",338.75,23.67,120.80%,8384843,1885.29,4.45,150.74%,527.85%,971.04%,98.47%,63.06%,-68.01%,31.43%,,-2920.83%,43.12%,,-32.10%,0.01%,4.49%,261.07%,385.85%,146.64%
"MAN","NYSE","ManpowerGroup","Industrials","Staffing & Employment Services",2412.80,51.88,-7.12%,1078262,1244.97,0.87,3.86%,53.63%,69.10%,79.14%,74.50%,22.16%,4.72%,22.11%,178.22%,7.54%,30.17%,-3.90%,115.20%,13.69%,11.82%,36.90%,63.02%
"NSP","NYSE","Insperity Inc","Industrials","Staffing & Employment Services",2062.28,54.03,1.60%,1465424,755.24,1.94,12.61%,30.79%,45.20%,32.62%,39.54%,-10.23%,4.29%,101.55%,175.99%,1.69%,41.21%,6.96%,109.42%,10.76%,11.46%,31.86%,50.54%
